source_name,destination_name,avg_distance_km,avg_time_min,trip_count,route_types
Miryalguda_Ragvendr_D (Telangana),Khammam_NSTRoad_I (Telangana),76.93688373988795,202.0,5,FTL
Miryalguda_Ragvendr_D (Telangana),Kodad_VidyaNgr_D (Telangana),44.2620110335472,92.0,1,FTL
Mothkur_Mainroad_D (Telangana),Thirumalagiri_Xroad_D (Telangana),20.555597071296333,36.09090909090909,11,FTL
Mulugu_LaxmiNGR_D (Telangana),Bhupalpally_JwahrNGR_D (Telangana),28.040467529840157,56.0,2,FTL
Nalgonda_HydRoad_DC (Telangana),Hyderabad_Shamshbd_H (Telangana),93.94583268458749,156.85714285714286,14,FTL
Narayankhed_Datatrya_D (Telangana),Zahirabad_Mohim_D (Telangana),43.142170391359166,102.36363636363636,22,FTL
Narsapur_Xroad_D (Telangana),Kamareddy_Devenply_I (Telangana),64.4720200053063,108.0,6,FTL
Patancheru_Ameenpur_I (Telangana),Hyderabad_Shamshbd_H (Telangana),29.17604408270342,124.0952380952381,21,Carting
Patancheru_Ameenpur_I (Telangana),Shamshabad_Lngrguda_D (Telangana),28.107149061550892,147.0,5,Carting
Ramagundam_Pdmavati_D (Telangana),Chinnur_AsnsdhRD_D (Telangana),30.676848537245597,53.0,5,FTL
Ramagundam_Pdmavati_D (Telangana),Karimnagar_KamnHbRD_I (Telangana),53.76070635297176,127.0,3,FTL
Rayaparthi_Perkadrd_D (Telangana),Warangal_HunterRd_I (Telangana),30.699776508444042,134.875,16,FTL
Sangareddy_Pothredy_D (Telangana),Patancheru_Ameenpur_I (Telangana),27.290361960150307,50.0,2,Carting
Sathupally_VidyaNGR_D (Telangana),Khammam_NSTRoad_I (Telangana),70.94093870341246,155.83333333333334,18,FTL
Shadnagar_Central_D_1 (Telangana),Hyderabad_Shamshbd_H (Telangana),26.59270481703949,53.5,12,Carting|FTL
Suryapet_Krishna_D (Telangana),Nalgonda_HydRoad_DC (Telangana),38.49219002570982,72.0,14,FTL
Tandur_SnthiNGR_D (Telangana),Vikarabad_Central_DPP_2 (Telangana),34.259117292653904,66.6,5,Carting
Thirumalagiri_Xroad_D (Telangana),Hyderabad_Uppal_I (Telangana),94.00415717206228,165.07142857142858,14,FTL
Vemulawada_Central_DPP_2 (Telangana),Jagtial_Aravind_D (Telangana),33.7629131579794,84.0,1,FTL
Vemulawada_Central_DPP_2 (Telangana),Metpally_GunjRDPP_D (Telangana),46.72604147636612,72.4,5,FTL
Vikarabad_Central_DPP_2 (Telangana),Hyderabad_Shamshbd_H (Telangana),51.10451463578045,108.0,1,Carting
Vikarabad_Central_DPP_2 (Telangana),Shadnagar_Central_D_1 (Telangana),41.60475818436182,75.8,5,Carting
Warangal_Central_D_2 (Telangana),Husnabad_Greenmkt_D (Telangana),37.89257078180388,56.46153846153846,13,FTL
Warangal_Central_D_2 (Telangana),Jammikunta_ConduDPP_D (Telangana),30.265613813046173,70.0,2,FTL
Warangal_HunterRd_I (Telangana),Ghanpur_Palakrty_D (Telangana),25.825236758503596,42.529411764705884,17,FTL
Warangal_HunterRd_I (Telangana),Khanpur_Nrsampt_D (Telangana),32.02408349876125,45.7,20,FTL
Warangal_HunterRd_I (Telangana),Mulugu_LaxmiNGR_D (Telangana),43.00577958576092,56.5,2,FTL
Yellandu_Sudimala_D (Telangana),Rayaparthi_Perkadrd_D (Telangana),78.82502689925848,149.41666666666666,12,FTL
Yellareddy_JKRoad_D (Telangana),Medak_Dwaraka_D (Telangana),30.589121506740018,61.78947368421053,19,FTL
Zahirabad_Mohim_D (Telangana),Hyderabad_Shamshbd_H (Telangana),96.07130227029035,171.04545454545453,22,FTL
